id,on_site_interviews,faculty_offers,covid_offers_rescinded,offer_responses,race_ethnicity,R1_apps_submitted,PUI_apps_submitted,gender,research_category,covid_alter_research,position,first_gen_phd,commitment_impact
389,1,0,NA,I did not recieve any offers,Caucasian-American/European,3,0,Woman,Humanities,Not at all,NA,Yes,Become weaker
390,0,0,NA,I did not recieve any offers,Caucasian-American/European,4,0,Man,Biological Sciences,NA,Postdoc,Yes,Not changed
391,2,1,0,I accepted an offer at a research-intensive institution,Caucasian-American/European,2,0,Woman,Biological Sciences,Not at all,Postdoc,Yes,Not changed
392,NA,NA,NA,NA,Not Listed,NA,NA,Man,NA,NA,Postdoc,Yes,NA
393,1,1,0,"I rejected offer(s) for geographic fit,I rejected offer(s) because the start up package was insufficient,I rejected offer(s) because of spouse/partner job prospects",Caucasian-American/European,0,6,Man,Chemistry,Not at all,Postdoc,Yes,Not changed
394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
395,1,0,1,I did not recieve any offers,Caucasian-American/European,6,0,Woman,Biological Sciences,Not at all,Postdoc,Yes,Become weaker
396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
397,1,0,NA,I did not recieve any offers,Caucasian-American/European,6,0,Man,Biological Sciences,NA,Postdoc,Yes,Not changed
398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
399,1,0,NA,I did not recieve any offers,Caucasian-American/European,0,1,Man,Biological Sciences,NA,Postdoc,Yes,NA
400,NA,NA,NA,NA,Asian-American/Asian,NA,NA,Man,Biological Sciences,NA,Postdoc,Yes,NA
401,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,Chemistry,NA,Postdoc,No,NA
402,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,Chemistry,NA,Non-tenure track faculty (e.g. research associate…),Yes,NA
403,3,2,0,I accepted an offer at a research-intensive institution,Asian-American/Asian,4,0,Woman,Biological Sciences,NA,Postdoc,No,NA
404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
405,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,Mathematical & Physical Sciences,NA,Postdoc,No,NA
406,0,NA,NA,NA,Caucasian-American/European,0,0,Man,Biological Sciences,NA,Non-tenure track faculty (e.g. research associate…),Yes,NA
407,0,0,NA,I did not recieve any offers,Asian-American/Asian,0,0,Woman,Biological Sciences,NA,Postdoc,Yes,NA
408,NA,NA,NA,NA,Caucasian-American/European,0,0,Man,Engineering,Not at all,Postdoc,No,NA
409,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,Humanities,NA,PhD Candidate (ABD),Yes,NA
410,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,Chemistry,NA,Postdoc,No,NA
411,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,Biological Sciences,NA,Postdoc,Yes,NA
412,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Man,Biological Sciences,NA,Postdoc,No,NA
413,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,Biological Sciences,NA,Postdoc,Yes,NA
414,NA,NA,NA,NA,"Caucasian-American/European,North American Hispanic/Latinx",NA,NA,Woman,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,NA
415,0,0,0,I did not recieve any offers,Caucasian-American/European,20,0,Man,Engineering,NA,Non-tenure track faculty (e.g. research associate…),Yes,NA
416,NA,NA,NA,NA,"Caucasian-American/European,South/Central American",NA,NA,Man,Biological Sciences,NA,Postdoc,Yes,NA
417,0,0,0,I did not recieve any offers,Not Listed,0,2,Woman,Biological Sciences,NA,Postdoc,Yes,NA
418,0,0,NA,I did not recieve any offers,"Caucasian-American/European,Asian-American/Asian",0,1,Woman,"Social, Behavior, & Economic Sciences",Not at all,Postdoc,Yes,NA
419,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,Chemistry,NA,Postdoc,No,NA
420,0,0,0,NA,Caucasian-American/European,0,0,Man,Engineering,NA,Postdoc,Yes,NA
421,1,1,0,I accepted an offer at a primarily undergraduate institution,Caucasian-American/European,0,1,Woman,Geosciences,NA,Postdoc,Yes,NA
422,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,Biological Sciences,NA,Non-tenure track faculty (e.g. research associate…),No,NA
423,NA,NA,NA,NA,Asian-American/Asian,NA,NA,Woman,"Social, Behavior, & Economic Sciences",NA,PhD Candidate (ABD),No,NA
424,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,Geosciences,NA,Non-tenure track faculty (e.g. research associate…),Yes,NA
425,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Man,Humanities,NA,NA,Yes,NA
426,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,Humanities,NA,PhD Candidate (ABD),Yes,NA
427,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,"Social, Behavior, & Economic Sciences",NA,PhD Candidate (ABD),Unsure,NA
428,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,Humanities,NA,Non-tenure track faculty (e.g. research associate…),Yes,NA
429,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,Humanities,NA,PhD Candidate (ABD),Yes,NA
430,4,2,0,"I accepted an offer at a primarily undergraduate institution,I rejected offer(s) for geographic fit,I rejected offer(s) because the personal compensation/benefits were insufficient,I rejected offer(s) because the start up package was insufficient",Caucasian-American/European,0,4,Woman,Biological Sciences,NA,PhD Candidate (ABD),Yes,NA
431,0,0,0,I did not recieve any offers,Caucasian-American/European,1,0,Woman,Humanities,NA,PhD Candidate (ABD),No,NA
432,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,Biological Sciences,NA,Postdoc,No,NA
433,1,0,NA,I did not recieve any offers,"Caucasian-American/European,Asian-American/Asian",7,10,Woman,Humanities,NA,Postdoc,Yes,NA
434,0,0,0,I did not recieve any offers,Caucasian-American/European,10,50,Woman,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,NA
435,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,Humanities,NA,Non-tenure track faculty (e.g. research associate…),Yes,NA
436,NA,NA,NA,NA,"Caucasian-American/European,Asian-American/Asian",NA,NA,Non-binary,"Social, Behavior, & Economic Sciences",NA,PhD Candidate (ABD),Yes,NA
437,NA,NA,NA,NA,Asian-American/Asian,NA,NA,Woman,Biological Sciences,NA,Postdoc,Yes,NA
438,1,1,0,I accepted an offer at a primarily undergraduate institution,Asian-American/Asian,1,1,Woman,"Social, Behavior, & Economic Sciences",NA,PhD Candidate (ABD),Yes,NA
439,6,5,0,"I accepted an offer at a primarily undergraduate institution,I rejected offer(s) for geographic fit,I rejected offer(s) because the personal compensation/benefits were insufficient,I rejected offer(s) because of spouse/partner job prospects",African-American/Black/African,26,5,Woman,"Social, Behavior, & Economic Sciences",NA,PhD Candidate (ABD),Yes,NA
440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PhD Candidate (ABD),NA,NA
441,2,2,0,I accepted an offer at a primarily undergraduate institution,Caucasian-American/European,2,1,Woman,Humanities,NA,Non-tenure track faculty (e.g. research associate…),No,NA
442,0,0,NA,I did not recieve any offers,Caucasian-American/European,1,0,Woman,Biological Sciences,NA,Postdoc,No,NA
443,NA,0,0,I did not recieve any offers,Caucasian-American/European,3,2,Woman,Mathematical & Physical Sciences,NA,Non-tenure track faculty (e.g. research associate…),Yes,NA
444,0,0,0,I did not recieve any offers,African-American/Black/African,0,0,Woman,"Social, Behavior, & Economic Sciences",NA,PhD Candidate (ABD),Yes,NA
445,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,"Social, Behavior, & Economic Sciences",NA,NA,Yes,NA
446,NA,NA,NA,NA,Caucasian-American/European,0,0,Woman,Biological Sciences,NA,Postdoc,No,NA
447,0,0,NA,I did not recieve any offers,Caucasian-American/European,1,2,Woman,Humanities,NA,NA,Yes,NA
448,NA,NA,NA,NA,"Caucasian-American/European,North American Indigenous (e.g., Hawaii or Alaskan Native, American Indian)",NA,NA,Woman,NA,NA,Postdoc,Yes,NA
449,1,1,0,"I accepted an offer at a primarily undergraduate institution,I accepted an offer at a research-intensive institution",Not Listed,2,1,Woman,Humanities,NA,PhD Candidate (ABD),Yes,NA
450,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,NA
451,0,0,NA,I did not recieve any offers,Caucasian-American/European,5,5,Non-binary,Humanities,NA,Postdoc,Yes,NA
452,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,"Social, Behavior, & Economic Sciences",NA,Non-tenure track faculty (e.g. research associate…),No,NA
453,NA,NA,NA,NA,"Caucasian-American/European,North American Hispanic/Latinx",NA,NA,Woman,Humanities,NA,Non-tenure track faculty (e.g. research associate…),Yes,NA
454,NA,NA,NA,NA,African-American/Black/African,NA,NA,Woman,Biological Sciences,NA,NA,Yes,NA
455,NA,NA,NA,NA,Asian-American/Asian,NA,NA,Woman,Biological Sciences,NA,NA,Yes,NA
456,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Man,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,NA
457,NA,NA,NA,NA,Asian-American/Asian,NA,NA,Woman,Biological Sciences,NA,Postdoc,Yes,NA
458,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Man,Humanities,NA,Postdoc,Yes,NA
459,3,1,0,I accepted an offer at a primarily undergraduate institution,Caucasian-American/European,3,6,Woman,Biological Sciences,Not at all,Postdoc,Yes,Become stronger
460,1,1,NA,I accepted an offer at a research-intensive institution,Caucasian-American/European,1,NA,Woman,Mathematical & Physical Sciences,NA,Postdoc,Yes,NA
461,NA,NA,NA,NA,Asian-American/Asian,NA,NA,Woman,Chemistry,NA,Postdoc,No,NA
462,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Man,Biological Sciences,NA,Postdoc,Yes,NA
463,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,Humanities,NA,Non-tenure track faculty (e.g. research associate…),Yes,NA
464,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,Humanities,NA,Non-tenure track faculty (e.g. research associate…),Yes,NA
465,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Man,Humanities,NA,NA,Yes,NA
466,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Man,Humanities,NA,Non-tenure track faculty (e.g. research associate…),Yes,NA
467,NA,NA,NA,NA,Asian-American/Asian,NA,NA,Woman,Chemistry,NA,PhD Candidate (ABD),Yes,NA
468,0,0,NA,I did not recieve any offers,Caucasian-American/European,0,4,Man,"Social, Behavior, & Economic Sciences",NA,Non-tenure track faculty (e.g. research associate…),NA,NA
469,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Non-binary,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,NA
470,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,Biological Sciences,NA,Postdoc,Yes,NA
471,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,Humanities,NA,Non-tenure track faculty (e.g. research associate…),Yes,NA
472,NA,NA,NA,NA,Asian-American/Asian,NA,NA,Man,Engineering,NA,Postdoc,Yes,NA
473,1,1,0,I accepted an offer at a research-intensive institution,Caucasian-American/European,NA,NA,Woman,"Social, Behavior, & Economic Sciences",NA,NA,Yes,NA
474,0,0,0,I did not recieve any offers,Asian-American/Asian,0,0,Woman,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,Become weaker
475,0,0,NA,I did not recieve any offers,Caucasian-American/European,12,8,Woman,Humanities,NA,Non-tenure track faculty (e.g. research associate…),Yes,NA
476,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,Humanities,NA,NA,Yes,NA
477,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,"Social, Behavior, & Economic Sciences",NA,PhD Candidate (ABD),Yes,NA
478,NA,NA,NA,NA,Caucasian-American/European,3,12,Man,Biological Sciences,NA,Postdoc,Yes,NA
479,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,Mathematical & Physical Sciences,NA,Postdoc,No,NA
480,NA,NA,NA,NA,"Caribbean Islander (e.g., Puerto Rico, Trinidad)",NA,NA,Woman,Humanities,NA,PhD Candidate (ABD),Yes,NA
481,2,1,0,I rejected offer(s) because the personal compensation/benefits were insufficient,Caucasian-American/European,5,0,Woman,Engineering,NA,NA,Yes,NA
482,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,Humanities,NA,PhD Candidate (ABD),Yes,NA
483,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Man,"Social, Behavior, & Economic Sciences",NA,PhD Candidate (ABD),Yes,NA
484,3,2,0,I accepted an offer at a research-intensive institution,North American Hispanic/Latinx,2,NA,Man,"Social, Behavior, & Economic Sciences",NA,Non-tenure track faculty (e.g. research associate…),Yes,NA
485,0,0,NA,I did not recieve any offers,Caucasian-American/European,2,2,Woman,Humanities,NA,Postdoc,Yes,NA
486,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,Humanities,NA,Postdoc,Yes,NA
487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
488,NA,NA,NA,NA,Asian-American/Asian,NA,NA,Woman,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,NA
489,0,1 (continue where I am with promotion to full time VAP),NA,I accepted an offer at a primarily undergraduate institution,Caucasian-American/European,6,6,Woman,Humanities,NA,Non-tenure track faculty (e.g. research associate…),No,NA
490,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,Engineering,NA,Non-tenure track faculty (e.g. research associate…),No,NA
492,1,1,0,I accepted an offer at a research-intensive institution,Caucasian-American/European,5,0,Woman,Computer & Information Sciences,Not at all,Postdoc,Yes,NA
493,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,Biological Sciences,NA,Non-tenure track faculty (e.g. research associate…),Yes,NA
494,NA,NA,NA,NA,Asian-American/Asian,NA,NA,Woman,"Social, Behavior, & Economic Sciences",NA,PhD Candidate (ABD),Yes,NA
495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
496,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,Biological Sciences,NA,Non-tenure track faculty (e.g. research associate…),Yes,NA
497,NA,NA,NA,NA,Asian-American/Asian,NA,NA,Man,Biological Sciences,NA,Postdoc,Yes,NA
498,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,NA
499,NA,NA,NA,NA,Asian-American/Asian,NA,NA,Woman,Biological Sciences,NA,Postdoc,Yes,NA
500,NA,NA,NA,NA,North American Hispanic/Latinx,NA,NA,Woman,"Social, Behavior, & Economic Sciences",NA,Non-tenure track faculty (e.g. research associate…),Yes,NA
501,NA,NA,NA,NA,South/Central American,NA,NA,Woman,"Social, Behavior, & Economic Sciences",NA,NA,Yes,NA
502,NA,NA,NA,NA,"Caribbean Islander (e.g., Puerto Rico, Trinidad)",NA,NA,Woman,Biological Sciences,NA,Non-tenure track faculty (e.g. research associate…),No,NA
503,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Man,Humanities,NA,NA,Unsure,NA
504,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Man,Biological Sciences,NA,Postdoc,Yes,NA
505,NA,NA,NA,I did not recieve any offers,Asian-American/Asian,NA,NA,Woman,"Social, Behavior, & Economic Sciences",NA,PhD Candidate (ABD),Yes,NA
506,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,NA
507,NA,NA,NA,I did not recieve any offers,Asian-American/Asian,NA,NA,Unlisted gender,Biological Sciences,NA,Postdoc,Yes,NA
508,0,NA,NA,"I rejected offer(s) because the personal compensation/benefits were insufficient,I rejected offer(s) because of other family needs",Caucasian-American/European,4,5,Woman,Humanities,NA,Postdoc,Yes,NA
509,0,0,NA,I did not recieve any offers,Not Listed,1,0,Woman,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,NA
510,NA,NA,NA,NA,Not Listed,NA,NA,Man,Biological Sciences,NA,NA,Yes,NA
511,NA,NA,NA,NA,"South/Central American,North American Hispanic/Latinx",NA,NA,Woman,"Social, Behavior, & Economic Sciences",NA,NA,Yes,NA
512,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Man,Humanities,NA,Non-tenure track faculty (e.g. research associate…),Yes,NA
513,1,0,NA,I did not recieve any offers,Caucasian-American/European,0,10,Man,Humanities,NA,Non-tenure track faculty (e.g. research associate…),Yes,NA
514,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,NA
515,NA,NA,NA,NA,North American Hispanic/Latinx,NA,NA,Woman,Humanities,NA,Non-tenure track faculty (e.g. research associate…),Yes,NA
516,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Man,Biological Sciences,NA,Postdoc,Yes,NA
517,NA,NA,NA,NA,NA,NA,NA,NA,"Social, Behavior, & Economic Sciences",NA,Postdoc,No,NA
518,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,Humanities,NA,PhD Candidate (ABD),Yes,NA
519,1,1,0,I accepted an offer at a research-intensive institution,Caucasian-American/European,0,0,Man,Mathematical & Physical Sciences,NA,Non-tenure track faculty (e.g. research associate…),Yes,Become stronger
520,2,2,0,I accepted an offer at a primarily undergraduate institution,"Caucasian-American/European,North American Hispanic/Latinx",0,2,Non-binary,Biological Sciences,"Yes, significant changes",Postdoc,Yes,Not changed
521,7,4,NA,"I accepted an offer at a primarily undergraduate institution,I accepted an offer at a research-intensive institution,I rejected offer(s) for geographic fit,I rejected offer(s) because the position did not fit my career goals,I rejected offer(s) because the personal compensation/benefits were insufficient,I rejected offer(s) because the start up package was insufficient",Caucasian-American/European,25,25,Woman,Humanities,NA,Non-tenure track faculty (e.g. research associate…),Yes,NA
522,NA,NA,NA,NA,Not Listed,1,NA,Man,Chemistry,Not at all,Postdoc,Yes,Become stronger
523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Postdoc,NA,NA
524,1,1,NA,I rejected offer(s) because of other family needs,Caucasian-American/European,2,10,Woman,Humanities,NA,Non-tenure track faculty (e.g. research associate…),Yes,NA
525,4,1,0,"I rejected offer(s) for geographic fit,I rejected offer(s) because the position did not fit my career goals,I rejected offer(s) because the start up package was insufficient",Caucasian-American/European,24,0,Woman,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,Not changed
526,3,3,0,I accepted an offer at a research-intensive institution,Caucasian-American/European,4,0,Woman,Biological Sciences,Not at all,Postdoc,Yes,Become stronger
527,3,0,NA,I did not recieve any offers,Caucasian-American/European,13,0,Woman,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,Not changed
528,0,NA,NA,I did not recieve any offers,Caucasian-American/European,0,1,Woman,Biological Sciences,Not at all,Postdoc,Yes,Become weaker
529,2,0,NA,I did not recieve any offers,Caucasian-American/European,6,0,Woman,Mathematical & Physical Sciences,Not at all,Postdoc,No,Not changed
530,NA,NA,NA,I did not recieve any offers,Asian-American/Asian,0,0,Woman,Biological Sciences,NA,NA,No,Not changed
531,NA,NA,NA,NA,Asian-American/Asian,NA,NA,Woman,Biological Sciences,NA,Postdoc,Yes,NA
532,0,0,0,I did not recieve any offers,Caucasian-American/European,15,5,Man,Mathematical & Physical Sciences,NA,NA,Unsure,Become weaker
533,0,0,NA,I did not recieve any offers,Caucasian-American/European,1,0,Man,"Social, Behavior, & Economic Sciences",Not at all,Postdoc,Yes,Not changed
534,0,0,NA,I did not recieve any offers,Caucasian-American/European,20,3,Man,Chemistry,NA,Postdoc,Yes,Not changed
535,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,Humanities,NA,Postdoc,Yes,NA
536,0,0,NA,I did not recieve any offers,Caucasian-American/European,1,0,Woman,Humanities,Not at all,Postdoc,Yes,Not changed
537,1,1,0,I accepted an offer at a research-intensive institution,Caucasian-American/European,1,0,Woman,Humanities,NA,Non-tenure track faculty (e.g. research associate…),Yes,NA
538,0,0,0,I did not recieve any offers,Caucasian-American/European,1,0,Woman,Biological Sciences,NA,Postdoc,Yes,Not changed
539,4,1,0,I accepted an offer at a primarily undergraduate institution,Caucasian-American/European,3,12,Woman,Mathematical & Physical Sciences,NA,Postdoc,No,Not changed
540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
541,NA,NA,NA,NA,African-American/Black/African,NA,NA,Woman,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,NA
542,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,"Social, Behavior, & Economic Sciences",NA,Non-tenure track faculty (e.g. research associate…),Yes,NA
543,0,N/A,NA,I did not recieve any offers,North American Hispanic/Latinx,0,1,Man,Engineering,Not at all,Postdoc,Yes,Not changed
544,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,"Social, Behavior, & Economic Sciences",NA,PhD Candidate (ABD),Yes,NA
545,NA,NA,NA,NA,Asian-American/Asian,NA,NA,Man,Computer & Information Sciences,NA,Postdoc,Yes,NA
546,NA,NA,NA,NA,Asian-American/Asian,NA,NA,Woman,"Social, Behavior, & Economic Sciences",NA,PhD Candidate (ABD),Yes,NA
547,2,NA,NA,I did not recieve any offers,Not Listed,7,0,Man,Engineering,NA,Postdoc,Yes,Not changed
548,0,0,NA,NA,Caucasian-American/European,0,0,Man,Biological Sciences,NA,NA,Yes,NA
549,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Non-binary,Biological Sciences,NA,Non-tenure track faculty (e.g. research associate…),Yes,NA
550,0,0,NA,I did not recieve any offers,Asian-American/Asian,1,2,Man,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,Become weaker
551,15,8,0,"I accepted an offer at a research-intensive institution,I rejected offer(s) for geographic fit,I rejected offer(s) for hostile/unwelcome interviewing environments,I rejected offer(s) because the position did not fit my career goals,I rejected offer(s) because the start up package was insufficient",Asian-American/Asian,21,26,Woman,Biological Sciences,Not at all,Postdoc,No,Become stronger
552,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,"Social, Behavior, & Economic Sciences",NA,NA,Yes,NA
553,NA,NA,NA,NA,Asian-American/Asian,NA,NA,Woman,Biological Sciences,NA,Postdoc,Yes,NA
554,1,1,0,I accepted an offer at a research-intensive institution,African-American/Black/African,0,0,Woman,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,NA
555,0,0,0,I did not recieve any offers,Asian-American/Asian,18,0,Woman,Engineering,Somewhat,Postdoc,No,Become weaker
556,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Man,Mathematical & Physical Sciences,NA,Postdoc,Yes,NA
557,0,NA,NA,I did not recieve any offers,"Caucasian-American/European,African-American/Black/African",2,2,Woman,Humanities,NA,PhD Candidate (ABD),Yes,Not changed
558,NA,NA,NA,NA,Asian-American/Asian,NA,NA,Man,Biological Sciences,NA,Postdoc,Yes,NA
559,0,0,0,I did not recieve any offers,African-American/Black/African,2,3,Woman,"Social, Behavior, & Economic Sciences",Not at all,PhD Candidate (ABD),Yes,Become weaker
560,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,Biological Sciences,NA,Postdoc,Yes,NA
561,0,0,NA,I did not recieve any offers,African-American/Black/African,1,1,Woman,Chemistry,Not at all,PhD Candidate (ABD),Yes,Not changed
562,4,1,0,"I rejected offer(s) for geographic fit,I rejected offer(s) because the position did not fit my career goals,I rejected offer(s) because of other family needs,I rejected offer(s) because of other reasons pertaining to the impact of Covid-19",Caucasian-American/European,7,1,Woman,"Social, Behavior, & Economic Sciences",Not at all,Postdoc,Yes,Become stronger
563,4,0,NA,I did not recieve any offers,"Caucasian-American/European,Caucasian-American/North African or Middle Eastern",40,1,Woman,"Social, Behavior, & Economic Sciences",Not at all,Postdoc,No,Not changed
564,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,Humanities,NA,Postdoc,Yes,NA
565,NA,NA,NA,I did not recieve any offers,Caucasian-American/European,14,2,Woman,Biological Sciences,Not at all,Postdoc,Yes,Become weaker
566,NA,NA,NA,NA,African-American/Black/African,12,NA,Man,Engineering,NA,Postdoc,Yes,NA
567,NA,NA,NA,NA,Caucasian-American/European,0,0,Woman,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,NA
568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Postdoc,NA,NA
569,1,0,0,I did not recieve any offers,Caucasian-American/European,80,20,Man,"Social, Behavior, & Economic Sciences",NA,Postdoc,Unsure,Become weaker
570,4,4,0,"I accepted an offer at a research-intensive institution,I rejected offer(s) because the position did not fit my career goals,I rejected offer(s) because the personal compensation/benefits were insufficient,I rejected offer(s) because the start up package was insufficient",Caucasian-American/European,21,14,Woman,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,Become stronger
571,0,0,0,I did not recieve any offers,South/Central American,5,0,Woman,Computer & Information Sciences,NA,Postdoc,Yes,NA
572,0,0,NA,I did not recieve any offers,Caucasian-American/European,2,0,Man,Biological Sciences,NA,Postdoc,Yes,Become stronger
573,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,Geosciences,NA,Postdoc,No,NA
574,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,Geosciences,NA,PhD Candidate (ABD),Yes,NA
575,0,0,NA,I did not recieve any offers,Caucasian-American/European,20,40,Woman,Humanities,Somewhat,PhD Candidate (ABD),Yes,Become weaker
576,0,0,NA,I did not recieve any offers,Caucasian-American/European,10,12,Woman,Biological Sciences,NA,Non-tenure track faculty (e.g. research associate…),Yes,Become weaker
578,0,0,NA,I did not recieve any offers,Caucasian-American/European,22,5,Woman,Biological Sciences,NA,Postdoc,No,Become weaker
579,1,1,0,I accepted an offer at a research-intensive institution,Asian-American/Asian,50,0,Woman,Biological Sciences,NA,Postdoc,Yes,Not changed
580,3,0,0,I did not recieve any offers,Caucasian-American/European,29,3,Woman,Biological Sciences,NA,Postdoc,Yes,Not changed
581,1,1,0,"I rejected offer(s) because the position did not fit my career goals,I rejected offer(s) because the personal compensation/benefits were insufficient",Asian-American/Asian,3,17,Man,Biological Sciences,Not at all,Postdoc,No,Not changed
582,0,0,NA,NA,Caucasian-American/European,0,0,Woman,NA,NA,Postdoc,No,NA
583,0,0,NA,I did not recieve any offers,Asian-American/Asian,0,0,Man,Biological Sciences,NA,Postdoc,No,Become stronger
584,12,4,0,"I accepted an offer at a research-intensive institution,I rejected offer(s) because the position did not fit my career goals,I rejected offer(s) because of spouse/partner job prospects,I rejected offer(s) because of other reasons pertaining to the impact of Covid-19",Caucasian-American/European,46,0,Woman,Engineering,Not at all,Postdoc,Yes,Become stronger
585,NA,NA,NA,NA,Not Listed,NA,NA,Woman,Integrated Sciences,NA,Postdoc,No,NA
586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
587,1,0,0,I did not recieve any offers,Caucasian-American/European,2,0,Man,Biological Sciences,NA,Postdoc,No,Not changed
588,1,1,0,I accepted an offer at a primarily undergraduate institution,"Caribbean Islander (e.g., Puerto Rico, Trinidad)",0,1,Man,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,NA
589,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,NA
590,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,Biological Sciences,NA,Postdoc,Yes,NA
591,4,2,0,"I accepted an offer at a research-intensive institution,I rejected offer(s) because the start up package was insufficient",Caucasian-American/European,5,0,Man,Biological Sciences,NA,Postdoc,Yes,Not changed
